president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Economy,Morning Consult,Cato Institute,7/3/2026,7/6/2026,2200.0, RV,0.7537266,0.7537266,,43.0,51.0,-8.0,39.7786,56.43021,-16.65161,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-PI-Weekly_260706.html,7/6/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Adults,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.6990088,,34.0,57.0,-23.0,34.89871,58.56179,-23.66308,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Economy,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.6990088,,29.0,56.0,-27.0,31.90784,58.94609,-27.03825,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),All polls,Quantus Insights,,7/3/2026,7/7/2026,1140.0, LV,0.9767208,0.6915867,,43.3,54.5,-11.2,41.74581,55.18631,-13.4405,https://quantusinsights.org/polling/f/trump-approval-and-wrong-track-majority-gives-democrats-2026-edge,7/7/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Quantus Insights,,7/3/2026,7/7/2026,1140.0, LV,0.9767208,0.6915867,,39.6,51.2,-11.6,32.71722,48.86489,-16.14767,https://quantusinsights.org/polling/f/trump-approval-and-wrong-track-majority-gives-democrats-2026-edge,7/7/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,Quantus Insights,,7/3/2026,7/7/2026,1140.0, LV,0.9767208,0.6915867,,3.7,3.3,0.4000001,9.084925,6.479952,2.604973,https://quantusinsights.org/polling/f/trump-approval-and-wrong-track-majority-gives-democrats-2026-edge,7/7/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Voters,Quantus Insights,,7/3/2026,7/7/2026,1140.0, LV,0.9767208,0.6915867,,43.3,54.5,-11.2,42.35115,54.87016,-12.51901,https://quantusinsights.org/polling/f/trump-approval-and-wrong-track-majority-gives-democrats-2026-edge,7/7/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,7/3/2026,7/9/2026,1500.0, LV,0.8915448,0.6754535,True,45.0,54.0,-9.0,41.44522,55.81617,-14.37095,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,7/9/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,7/3/2026,7/9/2026,1500.0, LV,0.8915448,0.6754535,True,45.0,54.0,-9.0,42.25449,55.54536,-13.29087,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,7/9/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Voters,YouGov,Economist,7/3/2026,7/6/2026,1443.0, RV,0.9153264,0.6376071,,40.0,58.0,-18.0,40.42935,57.07382,-16.64447,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,0.8862339,0.6117977,,15.0,9.0,6.0,14.67801,9.078617,5.599393,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,0.8862339,0.6117977,,20.0,51.0,-31.0,22.2123,50.09587,-27.88357,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Strong,Morning Consult,2Way,7/9/2026,7/10/2026,1000.0, RV,0.5885376,0.5885376,,21.0,43.0,-22.0,20.00387,44.46063,-24.45676,https://www.youtube.com/watch?v=Qe1LGjG3s5A,7/10/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,Morning Consult,2Way,7/9/2026,7/10/2026,1000.0, RV,0.5885376,0.5885376,,21.0,13.0,8.0,20.19894,13.34449,6.85445,https://www.youtube.com/watch?v=Qe1LGjG3s5A,7/10/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,0.8350969,0.5708881,,35.0,61.0,-26.0,36.70536,59.78253,-23.07717,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Economy,Global Strategy Group/GBAO (Navigator Research),,6/25/2026,6/30/2026,1000.0, RV,0.9101347,0.5411193,,35.0,63.0,-28.0,34.40205,62.51163,-28.10958,https://navigatorresearch.org/war-with-iran-remains-unpopular-at-home/,6/30/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Adults,Morning Consult,Cato Institute,6/25/2026,6/26/2026,2253.0, A,1.076241,0.5248198,,41.0,47.0,-6.0,39.2379,49.92382,-10.68592,https://www.cato.org/sites/cato.org/files/2026-07/Cato%20Fourth%20of%20July%202026%20Survey%20Toplines.pdf,6/26/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Weak,Morning Consult,2Way,7/6/2026,7/7/2026,1008.0, RV,0.5723288,0.4684673,,23.0,15.0,8.0,22.19894,15.34449,6.85445,https://www.harrisx.com/content/harrisx-2way-world-cup-red-card-controversy,7/7/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Morning Consult,2Way,7/6/2026,7/7/2026,1008.0, RV,0.5723288,0.4684673,,20.0,39.0,-19.0,19.00387,40.46063,-21.45676,https://www.harrisx.com/content/harrisx-2way-world-cup-red-card-controversy,7/7/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Voters,Morning Consult,2Way,7/9/2026,7/10/2026,, LV,0.4346461,0.4346461,,45.0,54.0,-9.0,43.6115,55.03628,-11.42478,https://www.youtube.com/watch?v=Qe1LGjG3s5A,7/10/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Trade,YouGov,Economist,6/19/2026,6/22/2026,1679.0, A,1.291699,0.43346,,32.0,61.0,-29.0,33.27882,61.6969,-28.41808,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_v8p0Pe8.pdf,6/22/2026,10:01:50 12 Jul 2026
Donald Trump (2nd term),All polls,Talker Research,Scripps News,6/25/2026,7/2/2026,2000.0, RV,1.095397,0.4094418,,45.0,46.0,-1.0,43.86757,49.75634,-5.888771,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/2/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Talker Research,Scripps News,6/25/2026,7/2/2026,2000.0, RV,1.095397,0.4094418,,26.0,37.0,-11.0,25.61468,40.93167,-15.31699,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/2/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Voters,Talker Research,Scripps News,6/25/2026,7/2/2026,2000.0, RV,1.095397,0.4094418,,45.0,46.0,-1.0,43.61169,49.04122,-5.429531,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/2/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,Talker Research,Scripps News,6/25/2026,7/2/2026,2000.0, RV,1.095397,0.4094418,,19.0,9.0,10.0,17.98662,9.006584,8.980036,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/2/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Weak,Rasmussen Reports,,6/28/2026,7/2/2026,1862.0, LV,1.035372,0.4088174,,16.0,11.0,5.0,16.93477,11.60308,5.331691,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_june_28_july_2_2026,7/2/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Rasmussen Reports,,6/28/2026,7/2/2026,1862.0, LV,1.035372,0.4088174,,23.0,47.0,-24.0,18.94841,48.51574,-29.56733,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_june_28_july_2_2026,7/2/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,Morning Consult,2Way,7/9/2026,7/10/2026,1000.0, RV,0.4086788,0.4086788,,42.0,56.0,-14.0,40.15903,57.89645,-17.73742,https://www.youtube.com/watch?v=Qe1LGjG3s5A,7/10/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Weak,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.4006854,,19.0,14.0,5.0,18.321,12.84791,5.473089,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.4006854,,15.0,43.0,-28.0,17.75365,45.76769,-28.01404,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.4006854,,34.0,57.0,-23.0,35.91236,58.30527,-22.39291,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Focaldata,Financial Times,6/26/2026,6/30/2026,1795.0, RV,1.139212,0.3912823,,36.0,56.0,-20.0,37.19944,56.92585,-19.72641,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Adults,YouGov,Economist,6/26/2026,6/29/2026,1606.0, A,0.6435114,0.3595514,,38.0,58.0,-20.0,38.14396,57.63005,-19.48609,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/29/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Immigration,Morning Consult,,6/26/2026,6/28/2026,2002.0, RV,0.5999849,0.3570087,,49.0,46.0,3.0,45.55722,51.60173,-6.04451,https://drive.google.com/file/d/1r9X_-vXE-Kkv1lXR5cu1KtWd-LAEMSJW/view,6/28/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Voters,Morning Consult,Cato Institute,7/3/2026,7/6/2026,2200.0, RV,0.5112799,0.3542157,,44.7,52.5,-7.799999,43.3115,53.53628,-10.22478,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-PI-Weekly_260706.html,7/6/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Immigration,Quinnipiac University,,6/18/2026,6/22/2026,1165.0, RV,1.311582,0.3505611,,42.0,55.0,-13.0,44.09616,52.81354,-8.717381,https://poll.qu.edu/poll-release?releaseid=3961,6/22/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Economy,Quinnipiac University,,6/18/2026,6/22/2026,1165.0, RV,1.311582,0.3505611,,39.0,59.0,-20.0,39.24898,58.82114,-19.57216,https://poll.qu.edu/poll-release?releaseid=3961,6/22/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Weak,AlphaROC,Independent Center,6/27/2026,6/28/2026,1000.0, RV,0.9496727,0.3296867,,19.1,12.2,6.900001,18.75191,11.73057,7.021339,https://independentcentervoice.com/insights/june-2026-national-survey-on-independent-candidates,6/28/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,AlphaROC,Independent Center,6/27/2026,6/28/2026,1000.0, RV,0.9496727,0.3296867,,40.2,56.2,-16.0,39.99331,56.23988,-16.24657,https://independentcentervoice.com/insights/june-2026-national-survey-on-independent-candidates,6/28/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,AlphaROC,Independent Center,6/27/2026,6/28/2026,1000.0, RV,0.9496727,0.3296867,,40.2,56.2,-16.0,40.25394,56.16191,-15.90797,https://independentcentervoice.com/insights/june-2026-national-survey-on-independent-candidates,6/28/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Strong,AlphaROC,Independent Center,6/27/2026,6/28/2026,1000.0,,0.9496727,0.3296867,,21.1,44.0,-22.9,21.25077,44.51028,-23.25951,https://independentcentervoice.com/insights/june-2026-national-survey-on-independent-candidates,6/28/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Economy,Echelon Insights,,6/18/2026,6/22/2026,1003.0, LV,1.240396,0.323514,,38.0,60.0,-22.0,36.46614,60.84549,-24.37935,https://echeloninsights.com/hubfs/_Media%20for%20Insights%20Blog/Echelon%20Insights%20America%20250%20Survey%20Topline%20-%20External.pdf,6/22/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Immigration,Echelon Insights,,6/18/2026,6/22/2026,1003.0, LV,1.240396,0.323514,,44.0,54.0,-10.0,42.46587,54.50467,-12.0388,https://echeloninsights.com/hubfs/_Media%20for%20Insights%20Blog/Echelon%20Insights%20America%20250%20Survey%20Topline%20-%20External.pdf,6/22/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Trade,Verasight,Strength in Numbers,6/17/2026,6/22/2026,2087.0, A,1.104354,0.3181804,,35.0,58.0,-23.0,34.88375,58.43694,-23.55319,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/22/2026,10:01:50 12 Jul 2026
Donald Trump (2nd term),Cost,Verasight,Strength in Numbers,6/17/2026,6/22/2026,2087.0, A,1.104354,0.3181804,,25.0,71.0,-46.0,26.14568,69.8724,-43.72672,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/22/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),All polls,Morning Consult,Cato Institute,7/3/2026,7/6/2026,2200.0, RV,0.4609796,0.3171084,,44.7,52.5,-7.799999,42.85903,54.39645,-11.53742,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-PI-Weekly_260706.html,7/6/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Economy,Morning Consult,,6/26/2026,6/28/2026,2002.0, RV,0.6178491,0.3169356,,40.0,52.0,-12.0,36.7786,57.43021,-20.65161,https://drive.google.com/file/d/1r9X_-vXE-Kkv1lXR5cu1KtWd-LAEMSJW/view,6/28/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Voters,Morning Consult,2Way,7/6/2026,7/7/2026,1008.0, RV,0.3882749,0.316907,,43.0,54.0,-11.0,41.6115,55.03628,-13.42478,https://www.harrisx.com/content/harrisx-2way-world-cup-red-card-controversy,7/7/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Global Strategy Group/GBAO (Navigator Research),,6/25/2026,6/30/2026,1000.0, RV,0.9101347,0.3062267,,39.0,60.0,-21.0,39.15773,58.93161,-19.77388,https://navigatorresearch.org/war-with-iran-remains-unpopular-at-home/,6/30/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,6/25/2026,6/30/2026,1000.0, RV,0.9101347,0.3062267,,39.0,60.0,-21.0,39.76133,58.73014,-18.96881,https://navigatorresearch.org/war-with-iran-remains-unpopular-at-home/,6/30/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,Global Strategy Group/GBAO (Navigator Research),,6/25/2026,6/30/2026,1000.0, RV,0.9101347,0.3062267,,20.0,11.0,9.0,18.35296,10.33308,8.01988,https://navigatorresearch.org/war-with-iran-remains-unpopular-at-home/,6/30/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Global Strategy Group/GBAO (Navigator Research),,6/25/2026,6/30/2026,1000.0, RV,0.9101347,0.3062267,,19.0,49.0,-30.0,20.95589,48.9676,-28.01171,https://navigatorresearch.org/war-with-iran-remains-unpopular-at-home/,6/30/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Immigration,Verasight,Strength in Numbers,6/17/2026,6/22/2026,2087.0, A,1.104354,0.295173,,42.0,54.0,-12.0,42.27123,53.91263,-11.6414,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/22/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Adults,Verasight,Strength in Numbers,6/17/2026,6/22/2026,2087.0, A,1.104354,0.295173,,37.0,60.0,-23.0,37.17904,58.9597,-21.78066,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/22/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Economy,Verasight,Strength in Numbers,6/17/2026,6/22/2026,2087.0, A,1.104354,0.295173,,35.0,60.0,-25.0,35.28671,60.58909,-25.30238,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/22/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),All polls,Morning Consult,2Way,7/6/2026,7/7/2026,1008.0, RV,0.3613943,0.2932683,,43.0,54.0,-11.0,41.15903,55.89645,-14.73742,https://www.harrisx.com/content/harrisx-2way-world-cup-red-card-controversy,7/7/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Tavern Research,"Zeteo, Searchlight Institute",6/24/2026,6/26/2026,1493.0, LV,1.033804,0.2763162,,20.0,48.0,-28.0,20.35321,47.93393,-27.58072,https://zeteo.com/p/medicare-for-all-poll-searchlight-institute,6/26/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,Tavern Research,"Zeteo, Searchlight Institute",6/24/2026,6/26/2026,1493.0, LV,1.033804,0.2763162,,20.0,9.0,11.0,19.49053,9.343714,10.14682,https://zeteo.com/p/medicare-for-all-poll-searchlight-institute,6/26/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,Tavern Research,"Zeteo, Searchlight Institute",6/24/2026,6/26/2026,1493.0, LV,1.033804,0.2763162,,40.0,57.0,-17.0,39.73387,56.90923,-17.17536,https://zeteo.com/p/medicare-for-all-poll-searchlight-institute,6/26/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Tavern Research,"Zeteo, Searchlight Institute",6/24/2026,6/26/2026,1493.0, LV,1.033804,0.2763162,,40.0,57.0,-17.0,40.38221,56.68336,-16.30115,https://zeteo.com/p/medicare-for-all-poll-searchlight-institute,6/26/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Cost,YouGov,Winthrop University,6/18/2026,6/23/2026,2150.0, A,0.8517464,0.2654459,,28.0,70.0,-42.0,28.45558,69.6594,-41.20382,https://www.winthrop.edu/winthroppoll/2026-july-winthroppoll-results.aspx#datatables,6/23/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),Immigration,YouGov,Winthrop University,6/18/2026,6/23/2026,2150.0, A,0.8662824,0.2634269,,44.0,53.0,-9.0,44.18638,52.85695,-8.67057,https://www.winthrop.edu/winthroppoll/2026-july-winthroppoll-results.aspx#datatables,6/23/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Trade,Morning Consult,,6/19/2026,6/22/2026,2200.0, RV,0.8142968,0.2487333,,42.0,47.0,-5.0,37.19113,54.64173,-17.4506,https://pro-assets.morningconsult.com/wp-uploads/2026/06/MCPI-PI-Weekly_260622.html,6/22/2026,10:01:50 12 Jul 2026
Donald Trump (2nd term),Voters,YouGov,Economist,6/26/2026,6/29/2026,1428.0, RV,0.7881435,0.2380368,,40.0,58.0,-18.0,40.42935,57.07382,-16.64447,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/29/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Cost,RMG Research,Napolitan News Service,6/17/2026,6/18/2026,1000.0, RV,1.101818,0.2358217,,29.0,69.0,-40.0,25.80881,70.64776,-44.83895,https://napolitannews.org/posts/trumps-approval-ratings-slump-across-key-issues,6/18/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),Economy,RMG Research,Napolitan News Service,6/17/2026,6/18/2026,1000.0, RV,1.101818,0.2358217,,36.0,64.0,-28.0,34.87121,63.86417,-28.99296,https://napolitannews.org/posts/trumps-approval-ratings-slump-across-key-issues,6/18/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Immigration,RMG Research,Napolitan News Service,6/17/2026,6/18/2026,1000.0, RV,1.101818,0.2358217,,46.0,52.0,-6.0,43.67947,53.38284,-9.703369,https://napolitannews.org/posts/trumps-approval-ratings-slump-across-key-issues,6/18/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Economy,YouGov,Winthrop University,6/18/2026,6/23/2026,2150.0, A,0.8791276,0.2323592,,35.0,61.0,-26.0,36.13036,61.14878,-25.01842,https://www.winthrop.edu/winthroppoll/2026-july-winthroppoll-results.aspx#datatables,6/23/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Cost,Ipsos,Reuters,6/18/2026,6/22/2026,1262.0, A,0.8152937,0.2130361,,22.0,69.0,-47.0,25.5962,68.4173,-42.8211,https://www.ipsos.com/en-us/few-expect-us-iran-preliminary-agreement-bring-lasting-peace,6/22/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),Strong,YouGov,Economist,6/26/2026,6/29/2026,1606.0, A,0.7316083,0.2102433,,19.0,47.0,-28.0,21.2123,46.09587,-24.88357,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/29/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,YouGov,Economist,6/26/2026,6/29/2026,1606.0, A,0.7316083,0.2102433,,19.0,11.0,8.0,18.67801,11.07862,7.599391,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/29/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Weak,Morning Consult,Cato Institute,6/25/2026,6/26/2026,2253.0, A,0.8325427,0.2036854,,22.0,11.0,11.0,21.19894,11.34449,9.85445,https://www.cato.org/sites/cato.org/files/2026-07/Cato%20Fourth%20of%20July%202026%20Survey%20Toplines.pdf,6/26/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Morning Consult,Cato Institute,6/25/2026,6/26/2026,2253.0, A,0.8325427,0.2036854,,19.0,36.0,-17.0,18.00387,37.46063,-19.45676,https://www.cato.org/sites/cato.org/files/2026-07/Cato%20Fourth%20of%20July%202026%20Survey%20Toplines.pdf,6/26/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Immigration,Ipsos,Reuters,6/18/2026,6/22/2026,1262.0, A,0.8152937,0.1925858,,37.0,55.0,-18.0,39.13064,55.33002,-16.19938,https://www.ipsos.com/en-us/few-expect-us-iran-preliminary-agreement-bring-lasting-peace,6/22/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Economy,Ipsos,Reuters,6/18/2026,6/22/2026,1262.0, A,0.8152937,0.1925858,,29.0,62.0,-33.0,32.37291,61.71951,-29.3466,https://www.ipsos.com/en-us/few-expect-us-iran-preliminary-agreement-bring-lasting-peace,6/22/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Adults,Ipsos,Reuters,6/18/2026,6/22/2026,1262.0, A,0.8152937,0.1925858,,34.0,64.0,-30.0,34.66275,62.38961,-27.72686,https://www.ipsos.com/en-us/few-expect-us-iran-preliminary-agreement-bring-lasting-peace,6/22/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Immigration,YouGov,CBS News,6/17/2026,6/19/2026,2519.0, A,0.8836646,0.1828113,,43.0,57.0,-14.0,43.18638,56.85695,-13.67057,https://www.cbsnews.com/news/opinion-poll-iran-war/,6/19/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),All polls,YouGov,Economist,6/26/2026,6/29/2026,1606.0, A,0.6435114,0.1827817,,38.0,58.0,-20.0,39.70536,56.78253,-17.07717,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/29/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Immigration,Morning Consult,,6/19/2026,6/22/2026,2200.0, RV,0.6582231,0.1820347,,48.0,44.0,4.0,44.55722,49.60173,-5.04451,https://pro-assets.morningconsult.com/wp-uploads/2026/06/MCPI-PI-Weekly_260622.html,6/22/2026,10:01:44 12 Jul 2026
